id_запчасти;название;цена;артикул
1;Масло моторное 5W-40 (4л);2500;12345
2;Масляный фильтр;400;12346
3;Тормозные колодки передние;1800;12347
4;Тормозные колодки задние;1600;12348
5;Ремень ГРМ;900;12349
6;Ролик натяжной;1200;12350
7;Антифриз (5л);800;12351
8;Свечи зажигания (4шт);1200;12352
9;Воздушный фильтр;500;12353
10;Стойка стабилизатора;700;12354
11;Амортизатор передний;3500;12355
12;Амортизатор задний;3200;12356
13;Фильтр салона;450;12357
14;Топливный фильтр;600;12358
15;Ремкомплект суппорта;850;12359
